"","Type.results","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","Common.Name","Window.size","Window.time","Training.dates","p.adj"
"460","Cumulative",1,2.39040487021152,-7.36098792712637,11.8601790249156,4.64579988620639,-1.39040487021152,-10.8601790249156,8.36098792712637,4.64579988620639,-1.11427348893591,-5.7770067741287,2.89387716785057,5.80046511090351,0.05,0.392532795156408,"Red-breasted Nuthatch",12,"after_eclipse","6,7,9",0.453593452180738
"461","Cumulative",1,1.0329165842949,-2.98856155494729,5.04041884467279,2.13800125489068,-0.0329165842949031,-4.04041884467279,3.98856155494729,2.13800125489068,-1.06477554808753,-6.4098837801467,2.89531190978781,6.90041117639239,0.05,0.494969818913481,"Red-breasted Nuthatch",8,"after_eclipse","6,7,9",0.5
"462","Cumulative",0,0.728085152652779,-2.31064015613018,3.64603169721235,1.54082162865642,-0.728085152652779,-3.64603169721235,2.31064015613018,1.54082162865642,-1,-1,-1,0,0.05,0.318318318318318,"Red-breasted Nuthatch",4,"after_eclipse","6,7,9",0.403720793964696
"463","Cumulative",31,29.1565506452948,-45.2882025054495,100.425979510811,36.1518554139599,1.84344935470522,-69.4259795108111,76.2882025054495,36.1518554139599,-0.0806614906625939,-9.50106638540142,7.27140606450909,19.6712602237162,0.05,0.468972533062055,"Red-bellied Woodpecker",28,"after_eclipse","6,7,9",0.478168072926017
"464","Cumulative",29,37.9078121780244,-20.7191791812427,97.6867367474416,31.3755145414817,-8.90781217802437,-68.6867367474416,49.7191791812427,31.3755145414817,-1.39823136552946,-9.61315024716883,5.60645879597546,37.2174940627937,0.05,0.380952380952381,"Red-bellied Woodpecker",24,"after_eclipse","6,7,9",0.43064182194617
"465","Cumulative",18,48.2441721247281,-7.62590380472987,103.127051020928,27.7532431893587,-30.2441721247281,-85.1270510209278,25.6259038047299,27.7532431893587,-0.418626700877331,-2.02143271316728,1.44084810129115,2.41756939801587,0.05,0.129196337741607,"Red-bellied Woodpecker",20,"after_eclipse","6,7,9",0.2288
"466","Cumulative",12,19.1663249753671,-24.0539908455381,61.6193363522548,21.6588005352765,-7.16632497536714,-49.6193363522548,36.0539908455381,21.6588005352765,-1.14123145759139,-7.31217553584739,4.79294539144172,9.30207866059148,0.05,0.378818737270876,"Red-bellied Woodpecker",16,"after_eclipse","6,7,9",0.447694871320126
"467","Cumulative",11,13.2473893633428,-8.76414957786147,35.3893103492683,11.0594858371751,-2.24738936334277,-24.3893103492683,19.7641495778615,11.0594858371751,1.53118527836107,-7.71858673408562,5.73141586000279,75.9972840075785,0.05,0.43030303030303,"Red-bellied Woodpecker",12,"after_eclipse","6,7,9",0.486429512516469
"468","Cumulative",11,10.335210202441,-0.199657637115059,20.9898544243792,5.60253944154543,0.664789797559006,-9.98985442437919,11.1996576371151,5.60253944154543,0.243961374706995,-2.86677678496039,7.40887875764723,7.4433410337133,0.05,0.471241170534813,"Red-bellied Woodpecker",8,"after_eclipse","6,7,9",0.5
"469","Cumulative",4,4.24163327162877,-2.99178047644086,10.5238645935771,3.49126935996661,-0.241633271628772,-6.52386459357713,6.99178047644086,3.49126935996661,0.698314530124604,-8.25471671038294,13.2307539013536,15.2240089063891,0.05,0.480162767039674,"Red-bellied Woodpecker",4,"after_eclipse","6,7,9",0.497497497497497
