"","Species","comparison","p.val","p.val.adj","statistic"
"24","red-winged blackbird","7th.0-4vs8th.0-4",0.793473210314678,0.94962006350036,0.261803150113878
"25","red-winged blackbird","7th.0-4vs8th.28-32",0.37907093642144,0.695330465750601,-0.879609415559249
"26","red-winged blackbird","7th.0-4vs8th.4-8",0.37907093642144,0.695330465750601,-0.879609415559249
"27","red-winged blackbird","8th.0-4vs8th.28-32",0.463553643833734,0.695330465750601,-0.733007846299374
"28","red-winged blackbird","8th.0-4vs8th.4-8",0.463553643833734,0.695330465750601,-0.733007846299374
"29","red-winged blackbird","8th.28-32vs8th.4-8",0.94962006350036,0.94962006350036,0.063183902008758
"30","northern flicker","7th.0-4vs8th.0-4",0.211685293018942,0.586178453203142,1.24894472125702
"31","northern flicker","7th.0-4vs8th.28-32",0.435948772099317,0.586178453203142,0.77905252912841
"32","northern flicker","7th.0-4vs8th.4-8",0.435948772099317,0.586178453203142,0.77905252912841
"33","northern flicker","8th.0-4vs8th.28-32",0.488482044335952,0.586178453203142,-0.692725163519778
"34","northern flicker","8th.0-4vs8th.4-8",0.488482044335952,0.586178453203142,-0.692725163519778
"35","northern flicker","8th.28-32vs8th.4-8",0.754861037667441,0.754861037667441,0.312236180314254
"36","northern cardinal","7th.0-4vs8th.0-4",0.545948079291863,0.741253340592272,0.603842922849395
"37","northern cardinal","7th.0-4vs8th.28-32",0.0759048749201507,0.160699260404785,-1.77495768158028
"38","northern cardinal","7th.0-4vs8th.4-8",0.617711117160227,0.741253340592272,0.499096905948631
"39","northern cardinal","8th.0-4vs8th.28-32",0.0391527883361062,0.160699260404785,-2.06257748902724
"40","northern cardinal","8th.0-4vs8th.4-8",0.752696462859753,0.752696462859753,-0.315085861787526
"41","northern cardinal","8th.28-32vs8th.4-8",0.0803496302023923,0.160699260404785,1.74866102909466
"42","mourning dove","7th.0-4vs8th.0-4",0.488482044335952,0.586178453203142,-0.692725163519778
"43","mourning dove","7th.0-4vs8th.28-32",0.211685293018942,0.586178453203142,-1.24894472125702
"44","mourning dove","7th.0-4vs8th.4-8",0.488482044335952,0.586178453203142,-0.692725163519778
"45","mourning dove","8th.0-4vs8th.28-32",0.435948772099317,0.586178453203142,-0.77905252912841
"46","mourning dove","8th.0-4vs8th.4-8",0.754861037667441,0.754861037667441,0.312236180314254
"47","mourning dove","8th.28-32vs8th.4-8",0.435948772099317,0.586178453203142,0.77905252912841
"48","house sparrow","7th.0-4vs8th.0-4",0.829663684837337,0.995596421804805,-0.215132924450616
"49","house sparrow","7th.0-4vs8th.28-32",0.114199060645284,0.228398121290569,-1.57959755021895
"50","house sparrow","7th.0-4vs8th.4-8",0.676018195305279,0.995596421804805,0.417902786263386
"51","house sparrow","8th.0-4vs8th.28-32",0.0668740420097846,0.200622126029354,-1.83251961574844
"52","house sparrow","8th.0-4vs8th.4-8",1,1,0
"53","house sparrow","8th.28-32vs8th.4-8",0.0291322039820567,0.17479322389234,2.18169291761565
"54","house finch","7th.0-4vs8th.0-4",0.027876248602525,0.16725749161515,2.19902353889812
"55","house finch","7th.0-4vs8th.28-32",0.928267720308563,0.928267720308563,0.0900245319392931
"56","house finch","7th.0-4vs8th.4-8",0.291022818648319,0.582045637296637,1.05588049006937
"57","house finch","8th.0-4vs8th.28-32",0.0809232094693977,0.242769628408193,-1.74535433409252
