"","Species","Estimate","Std. Error","t value","Pr(>|t|)","comparison"
"40","sppwhite-throated sparrow",-26.2307692307692,2.07105308354562,-12.6654258353738,2.31886665513331e-28,"7th.04_8th.48"
"41","(Intercept)",1.07692307692308,1.74566793293589,0.616911760022937,0.537880471110482,"7th.04_8th.04"
"42","sppamerican goldfinch",0.769230769230762,2.46237694036221,0.312393588740158,0.755013953803626,"7th.04_8th.04"
"43","sppamerican robin",11.4615384615385,2.46237694036222,4.65466447222841,5.38299801096362e-06,"7th.04_8th.04"
"44","sppblue jay",2.6153846153846,2.46237694036222,1.06213820171654,0.289245578035839,"7th.04_8th.04"
"45","sppcarolina chickadee",-0.923076923076929,2.46237694036222,-0.374872306488195,0.708088042548722,"7th.04_8th.04"
"46","sppcarolina wren",-3.6923076923077,2.46237694036222,-1.49948922595278,0.135067211960283,"7th.04_8th.04"
"47","sppcommon yellowthroat",-0.307692307692311,2.46237694036222,-0.124957435496066,0.900662342625595,"7th.04_8th.04"
"48","sppdowny woodpecker",-1.00000000000001,2.46237694036222,-0.406111665362211,0.685024119584525,"7th.04_8th.04"
"49","sppeastern bluebird",0.692307692307685,2.46237694036221,0.281154229866142,0.778835491435332,"7th.04_8th.04"
"50","sppeuropean starling",-0.846153846153861,2.46237694036222,-0.343632947614182,0.731424609315698,"7th.04_8th.04"
"51","spphouse finch",-0.384615384615388,2.46237694036222,-0.156196794370082,0.876009827122048,"7th.04_8th.04"
"52","spphouse sparrow",0.384615384615381,2.46237694036221,0.156196794370079,0.87600982712205,"7th.04_8th.04"
"53","sppmourning dove",-0.923076923076941,2.46237694036222,-0.3748723064882,0.708088042548719,"7th.04_8th.04"
"54","sppnorthern cardinal",3.69230769230769,2.46237694036221,1.49948922595277,0.135067211960284,"7th.04_8th.04"
"55","sppnorthern flicker",-1.07692307692308,2.46237694036221,-0.437351024236228,0.662251937771333,"7th.04_8th.04"
"56","sppred-winged blackbird",0.692307692307685,2.46237694036221,0.281154229866142,0.778835491435332,"7th.04_8th.04"
